,hlasy abs,hlasy procenta,mandat,navrhujici strana,politicka prislusnost,poradi ve strane,poradi zvoleni,prijmeni jmeno,rok,strana cislo,strana nazev,tituly,vek
944,2 125,252.0,0,KSČM,BEZPP,19,16,Jágr Rudolf,2010,13,Komunistická str.Čech a Moravy,Ing. ,67
945,2 391,270.0,0,VV,BEZPP,13,10,Jakubec Pavel,2010,6,Věci veřejné,,36
946,5 337,260.0,0,ČSSD,ČSSD,20,13,Janata Milan,2010,8,Česká str.sociálně demokrat.,,47
947,861,362.0,0,Suveren.,SDŽ,1,,Janeček Jiří,2010,4,Suverenita-blok J.Bobošíkové,,61
948,582,245.0,0,Suveren.,SDŽ,19,,Janečková Marie,2010,4,Suverenita-blok J.Bobošíkové,,61
949,5 620,260.0,0,ODS,ODS,9,1,Jarošová Naděžda,2010,3,Občanská demokratická strana,,54
950,3 974,243.0,0,NK,BEZPP,16,10,Jedlička Lukáš,2010,12,Liberec občanům,,23
951,222,237.0,0,SPOZ,BEZPP,13,,Jedounek Jiří,2010,11,Strana Práv Občanů ZEMANOVCI,,24
952,5 658,262.0,0,ODS,ODS,12,4,Jech Ctibor,2010,3,Občanská demokratická strana,,61
953,2 040,242.0,0,KSČM,KSČM,31,28,Jech Vlastimil,2010,13,Komunistická str.Čech a Moravy,,71
954,877,201.0,0,SOS,BEZPP,29,,Jeníkovský Tomáš,2010,9,SOS - Liberecký zastupitel,,21
955,1 143,262.0,0,NK,BEZPP,24,,Jeništa Petr,2010,9,SOS - Liberecký zastupitel,,33
956,819,188.0,0,NK,BEZPP,37,,Jeništová Vlasta,2010,9,SOS - Liberecký zastupitel,,59
957,3 974,243.0,0,KDU-ČSL,KDU-ČSL,15,9,Ježek Josef,2010,12,Liberec občanům,Ing. ,64
958,495,208.0,0,Suveren.,BEZPP,37,,Ježková Hana,2010,4,Suverenita-blok J.Bobošíkové,,64
959,6 011,239.0,0,NK,BEZPP,39,29,Jirsák Oldřich,2010,2,Změna pro Liberec,prof. RNDr. CSc.,63
960,5 411,250.0,0,ODS,ODS,27,19,Jonáš Jan,2010,3,Občanská demokratická strana,,28
961,5 782,267.0,1,ODS,ODS,2,2,Jozífková Naděžda,2010,3,Občanská demokratická strana,,49
